"","År","Kön","Befolkning","Under grundskola","Grundskola","Under gymnasie","Gymnasieexamen","Under kandidat","Kandidat - Master","Forskare"
"1",1990,"Totalt",4351951,20.6174426136691,12.1671636468333,32.1449391318974,11.2279527044307,11.2487020189336,10.8255814461146,0.587253854650477
"2",1990,"Kvinnor",2148066,19.7611712116853,12.2806282488527,35.270936740305,8.3199957543204,12.7180915297761,10.5109433322812,0.230393293315941
"3",1990,"Män",2203885,21.4520267618319,12.0565728248071,29.0981153735336,14.0622582394272,9.81652853937479,11.1322505484633,0.935076013494352
"4",1991,"Totalt",4393696,19.213800863783,12.2487309090115,32.4942144381405,11.4361576221933,11.5119935471184,10.902074244554,0.60033739248232
"5",1991,"Kvinnor",2167203,18.3217723489678,12.2710701304862,35.4115881161109,8.77596607239839,12.9790794863241,10.6851088707426,0.243401287281348
"6",1991,"Män",2226493,20.0820752636545,12.2269865658684,29.6545284445089,14.0255100734653,10.0839751124302,11.1132619774686,0.947768531048604
"7",1992,"Totalt",4433558,17.6541504588414,11.9186215675988,33.3079887530512,11.6039307481711,12.1267839509487,10.858615134842,0.600059816517569
"8",1992,"Kvinnor",2185760,16.5285758729229,11.6266195739697,36.4373490227655,9.18083412634507,13.6128394700242,10.7234097064637,0.247694165873655
"9",1992,"Män",2247798,18.7486597995016,12.2025644653123,30.2649971216275,13.960151223553,10.6817427544646,10.9900889670691,0.942700367203815
"10",1993,"Totalt",4471862,16.3806933219317,11.8674055684187,33.5014139523984,11.6836118824776,12.6206264862377,10.9008283350425,0.608985697680295
"11",1993,"Kvinnor",2204171,15.2189190403104,11.4769679847888,36.4352856470755,9.47508156127633,14.1047586598317,10.851789629752,0.25642293633298
"12",1993,"Män",2267691,17.5099252940546,12.2469066552718,30.6497225592023,13.8302793458192,11.1780661474601,10.9484934234867,0.951672869010813
"13",1994,"Totalt",4516263,15.4312315292533,11.8976684927339,33.7712839132708,12.0472833402306,13.333235907652,11.3799395650785,0.679632696324373
"14",1994,"Kvinnor",2225849,14.3068105698095,11.4458797519508,36.4499119212489,10.0121346955701,14.8093154567089,11.3957415799544,0.312914308203297
"15",1994,"Män",2290414,16.5239559311111,12.3367216581806,31.1681643580593,14.0250627179191,11.8987658999639,11.3645829967857,1.03601357658484
"16",1995,"Totalt",4541881,14.413015224309,11.9566320649969,34.0339608193169,12.1851497210077,13.7478943195561,11.561751617887,0.695218566932951
"17",1995,"Kvinnor",2238582,13.286357167171,11.4596650915624,36.4839438537431,10.3134037529114,15.196271568341,11.6641248790529,0.328779557773626
"18",1995,"Män",2303299,15.5080169791243,12.4396354967375,31.6528162431365,14.0043042609752,12.3402128859518,11.4622547919311,1.05136154706792
"19",1996,"Totalt",4570656,13.4163892447824,12.0238539063102,34.1852679352811,12.2711050667563,14.1445998123683,11.7557523471467,0.710860760468519
"20",1996,"Kvinnor",2252300,12.2913022243928,11.4687208631177,36.4166851662745,10.5406917373352,15.614482972961,11.9693646494694,0.344847489233228
"21",1996,"Män",2318356,14.5094196059622,12.5631697634013,32.0174295923491,13.9522144140072,12.7165974509523,11.5482264156152,1.06644536041919
"22",1997,"Totalt",4598712,12.357264381853,12.3712465577318,34.1736338348651,12.5085023806666,14.4990379915072,12.05685418004,0.729051960635935
"23",1997,"Kvinnor",2265811,11.2844804796163,11.7046390894916,36.1742440124088,10.8266753052218,15.9733534703468,12.4197914124347,0.365829277022664
"24",1997,"Män",2332901,13.3991969654949,13.0186836046622,32.230557576168,14.1419631608885,13.0671211508761,11.7043543639443,1.08182901889107
"25",1998,"Totalt",4630872,11.4977265620816,12.5924447922551,33.8837696226542,12.7078874129969,14.808744443811,12.3637621596969,0.749232541948903
"26",1998,"Kvinnor",2281785,10.4514228991776,11.9381536823145,35.6170717223577,11.0662923982759,16.3023247150805,12.897577992668,0.386320358841872
"27",1998,"Män",2349087,12.5140533322095,13.2279902787764,32.2001271132146,14.3024502711053,13.3579556653287,11.845240299742,1.10174718943998
"28",1999,"Totalt",4664107,10.697696257826,12.6790401678178,33.5343507342349,13.1058742863318,15.1305062255218,12.8504984984264,0.800024527739179
"29",1999,"Kvinnor",2298180,9.69815245106998,11.9914454046245,35.0476899111471,11.4458397514555,16.6454324726523,13.5706080463671,0.431123758800442
"30",1999,"Män",2365927,11.6686186851919,13.3469460384872,32.0643451805571,14.7183746582206,13.6589590464964,12.1510088857349,1.15836202892143
"31",2000,"Totalt",4695805,9.60252821401229,10.9806944709161,33.1806367598314,14.9775597581245,13.9167405801561,15.383752093624,0.856274909200872
"32",2000,"Kvinnor",2313983,8.67296777893355,10.0252249044181,33.9713385966967,14.0072334152844,14.9650191898558,16.8154217209029,0.486261135021303
"33",2000,"Män",2381822,10.5056129299335,11.908950374965,32.4124556746894,15.92024928815,12.8983190179619,13.9928592480882,1.2157499594848
"34",2001,"Totalt",4722095,8.85545504696538,10.7968814689243,32.5234456316529,15.6515275529188,13.995567645293,16.0980031109073,0.901718411001896
"35",2001,"Kvinnor",2326741,7.96783999594282,9.74689490579312,33.0660782613965,14.7571646349981,15.0739166929194,17.7343761080412,0.534395534354705
"36",2001,"Män",2395354,9.71764507459023,11.816792006526,31.9963562796981,16.5202721601901,12.9481070438858,14.5085027098291,1.25851961755966
"37",2002,"Totalt",4745838,8.17324569443795,10.7162739225401,31.7412646617942,16.355109466442,14.132214373942,16.8646928108376,0.930141315400989
"38",2002,"Kvinnor",2338453,7.33762876568398,9.55507765176379,32.0415676517766,15.5342014571172,15.2277167854133,18.6985584059205,0.56960734297418
"39",2002,"Män",2407385,8.98493593671141,11.8442210115956,31.4495604151392,17.1525119579959,13.068080095207,15.0833373141396,1.28035191712169
"40",2003,"Totalt",4762109,7.56973433409441,10.6474463310269,31.0079000711659,16.8105559952534,14.3355601478253,17.4926487402955,0.95785291768836
"41",2003,"Kvinnor",2346915,6.77762083415888,9.36356877006624,31.0638007767644,16.0577183238421,15.5107023475499,19.485281742202,0.608543556115155
"42",2003,"Män",2415194,8.33945430470596,11.8950278942396,30.9535797124372,17.5421104888469,13.1936399312022,15.5563486825489,1.29728709163736
"43",2004,"Totalt",4776467,6.95849044911228,10.6314143905946,30.3207998715369,17.2293873274954,14.3934627832664,18.2930186684007,0.993809859881791
"44",2004,"Kvinnor",2354822,6.24573746975355,9.23674910460324,30.1495399652288,16.5091459142135,15.5170539429307,20.563634958396,0.653595048797744
"45",2004,"Män",2421645,7.65157568512313,11.9875952090418,30.4873340229472,17.9297543611884,13.3008760573907,16.0850578842068,1.32463676550444
"46",2005,"Totalt",4795951,6.40181686593545,10.5356372490044,29.7013876914089,17.647177796437,14.2723518234444,19.2481324350478,1.02613642216111
"47",2005,"Kvinnor",2364976,5.77426578536104,9.05434135483827,29.3208895143122,16.9450768210756,15.1942768129571,21.9326538620265,0.69573644721976
"48",2005,"Män",2430975,7.01233044354631,11.97671716081,30.071555651539,18.3302172996431,13.3754563498185,16.6364935879637,1.34756630570039
"49",2006,"Totalt",4820934,5.87118595691208,10.4513150356342,28.9971196452804,18.0472912510314,14.2615103214439,19.9392897724798,1.04210097047585
"50",2006,"Kvinnor",2376927,5.31093298195527,8.88870377592581,28.4299854391826,17.3574535524229,15.1032404444899,22.9149654154293,0.724591037082754
"51",2006,"Män",2444007,6.41606181979021,11.9710377261604,29.5486878720069,18.7181951606522,13.442882937733,17.045286695169,1.35089629448688
"52",2007,"Totalt",4838227,5.40092476024792,10.3898597564769,28.3482771684751,18.4347282589263,14.3006312022979,20.662713841248,1.06594833189927
"53",2007,"Kvinnor",2384517,4.92661616587342,8.74386720665024,27.5941417066853,17.7688395595418,15.0703895170385,23.9113833115889,0.765102534391661
"54",2007,"Män",2453710,5.86185816579791,11.9894364044651,29.0811465087561,19.081839337167,13.5525795631921,17.505654702471,1.35831047678821
"55",2008,"Totalt",4847121,4.94701906554427,10.3324220707509,27.6602956682946,18.7775795157579,14.3910374839002,21.2974877251878,1.09091561774505
"56",2008,"Kvinnor",2389451,4.55790890878281,8.60821167707561,26.6939979099802,18.1124869269133,15.0940111347753,24.8136915132388,0.803280753612441
"57",2008,"Män",2457670,5.32532846151029,12.0087725365895,28.5997713281279,19.4242107361851,13.7075766884895,17.8788852856567,1.37056643080641
"58",2009,"Totalt",4856477,4.50153475451444,10.2677722966669,26.9016408396457,19.1700897584813,14.5363810021133,21.8741898705584,1.12406586091111
"59",2009,"Kvinnor",2394225,4.20244546774008,8.47368146268625,25.7271559690505,18.4933329156616,15.1972767805866,25.6298802326431,0.85388800133655
"60",2009,"Män",2462252,4.79236081440892,12.0122960606794,28.0436770891038,19.8281491902535,13.8937444258346,18.2222615719268,1.38677925736277
"61",2010,"Totalt",4862744,4.1089557665384,10.185380928957,26.1300204164562,19.5793157114584,14.7303867939583,22.4449816811249,1.14795267856996
"62",2010,"Kvinnor",2397165,3.91103657862517,8.33534612761324,24.7467737932099,18.8929005721342,15.3443755436109,26.4358940665328,0.894431547265207
"63",2010,"Män",2465579,4.30138316395459,11.9840816295077,27.4748852095187,20.2466844501839,14.1334347834728,18.5648076983135,1.39443919663495
"64",2011,"Totalt",4870679,3.75939371081527,10.0367115139388,25.4612549913472,20.0186668018976,14.9061147326687,23.0609531032532,1.17917850878697
"65",2011,"Kvinnor",2401309,3.6640848803715,8.13760328220983,23.8633595259919,19.312133507183,15.435289669093,27.3091884468013,0.934407025501508
"66",2011,"Män",2469370,3.85207563062644,11.883476352268,27.0151091169003,20.7057265618356,14.3915249638572,18.9298080077105,1.4172035782406
"67",2012,"Totalt",4883971,3.44629400952626,9.88906363285122,24.8416503701599,20.403540479663,15.0233078779542,23.5800949678039,1.20500306000998
"68",2012,"Kvinnor",2408784,3.43405635374529,7.93898498163389,23.0376820835741,19.6744083321709,15.5032165607211,28.0649489534969,0.971984204478276
"69",2012,"Män",2475187,3.45820335998856,11.7868266114843,26.5972227552908,21.1131118578111,14.5562739300101,19.2155582588305,1.43177060965495
"70",2013,"Totalt",4910989,3.2141387406895,9.69177491539891,24.175497033286,20.8051983011976,15.1336523050652,24.0764334841719,1.22763459661588
"71",2013,"Kvinnor",2421477,3.28002289511732,7.70298458337618,22.1992197324195,20.0207146299552,15.5856941858213,28.7847045418974,1.00748427509326
"72",2013,"Män",2489512,3.15005511120252,11.6262142942071,26.0977653451761,21.5682430934255,14.693964118269,19.496833114281,1.44176850724158
"73",2014,"Totalt",4953673,3.07509195701856,9.49267341627112,23.4485401034747,21.265614423883,15.223087999551,24.5549514471383,1.25012288861215
"74",2014,"Kvinnor",2440112,3.19796796212633,7.48207459329736,21.3357009842171,20.4250870451848,15.6270695771342,29.4884005324346,1.04237018628653
"75",2014,"Män",2513561,2.95580652309612,11.4445203438468,25.4996397541178,22.0815806737931,14.8309112052582,19.7656631368803,1.45180482988079
"76",2015,"Totalt",5007727,2.96397946613304,9.29571440296166,22.6964049757505,21.7445959014938,15.3080229812847,24.9694921468363,1.27057645115239
"77",2015,"Kvinnor",2464755,3.13150799978091,7.27155437355843,20.4804940044751,20.8105876648998,15.6934056326085,30.1137841286456,1.07584729516727
"78",2015,"Män",2542972,2.80160379272756,11.257615105475,24.844158724516,22.649875814598,14.9344939700476,19.9834288383828,1.45931610729493
"79",2016,"Totalt",5087511,2.89316327768137,9.09664863623882,21.9037953922851,22.0892691927349,15.3963106910236,25.3665495760107,1.28166799049673
"80",2016,"Kvinnor",2499867,3.07036334332986,7.08897713358351,19.6235639736034,21.0418794279856,15.7577583127422,30.7127139163804,1.0996585018323
"81",2016,"Män",2587644,2.72197412008762,11.0362167284217,24.1066777346497,23.1011298308423,15.0471239474982,20.2017356328769,1.45750342782856
"82",2017,"Totalt",5157662,2.84049245569019,8.84565526007714,21.0700701209191,22.5695867623741,15.4829843444568,25.7392012117118,1.30016274815992
"83",2017,"Kvinnor",2532975,3.04006158765878,6.8638656125702,18.7312547498495,21.3837088798745,15.8378191652109,31.2675806117313,1.1290675983774
"84",2017,"Män",2624687,2.64789668253777,10.7581970726414,23.3271624387975,23.7140276154833,15.1405481872696,20.4039948382417,1.46527947903883
"85",2018,"Totalt",5217639,2.79028503121814,8.56632664697577,20.3248825761997,22.86290791678,15.5591638286972,26.3172289228902,1.32019482375074
"86",2018,"Kvinnor",2562001,3.00913231493665,6.63813167910551,17.9279789508279,21.5249330503774,15.8951538270282,31.9832427856195,1.16346558803061
"87",2018,"Män",2655638,2.57915423713624,10.4265340381483,22.6372720980796,24.1537061903769,15.2350207370131,20.8509970108878,1.47139783359027
"88",2019,"Totalt",5270793,2.73776640441011,8.27177238794997,19.6581045774327,23.1257801245467,15.5602961451911,26.8750831231657,1.33900155062056
"89",2019,"Kvinnor",2587219,2.96805179615641,6.39462681744375,17.2214257857568,21.5913303048563,15.880217329882,32.7618187714299,1.18899868932626
"90",2019,"Män",2683574,2.51574951911145,10.0815181545208,22.0072932589152,24.6051347941216,15.2518618826982,21.1997135163778,1.4836184878822
"91",2020,"Totalt",5297371,2.6808958632499,8.04257432601945,19.0003305413195,23.4324913244702,15.5733664868857,27.5123830292422,1.36371418954799
"92",2020,"Kvinnor",2599311,2.90727042666307,6.17902205622952,16.5569645186744,21.7216408502099,15.8487383772084,33.6387219536254,1.21893840329226
"93",2020,"Män",2698060,2.46280660919327,9.83792057997228,21.3542693639133,25.0807246688361,15.308073208157,21.6102681185741,1.50319118181212
"94",2021,"Totalt",5325271,2.6246363800077,7.75190595933991,18.2797269847863,23.6376702706773,15.5560909482353,28.1783405952486,1.37825849614038
"95",2021,"Kvinnor",2612265,2.83834143932564,5.92022631700842,15.8482389803485,21.72551406538,15.8057088388812,34.5454232246728,1.24003498879325
"96",2021,"Män",2713006,2.41886674780668,9.51557055163166,20.6209274878124,25.478823120922,15.3157420219491,22.0476843766656,1.5113494035767
"97",2022,"Totalt",5356989,2.58339152833803,7.45775285332861,17.5199725069437,23.4512521866295,15.965125185062,28.8649090001865,1.40476301146036
"98",2022,"Kvinnor",2625317,2.77436972373241,5.6584023948346,15.1149746868664,21.3904454204959,16.1670381138735,35.4320640136029,1.27413184769687
"99",2022,"Män",2731672,2.39984888376057,9.18704734682641,19.8313340693905,25.431823440003,15.7710735403079,22.5534397980431,1.53030817755572
